Source Node,Target Node,Pair Count,SNDomain,TNDomain,year
electric drive vehicle,EDV,9,EPS-Store,EPS-Store,2000
battery charge/discharge control,EDV,9,EPS-Store,EPS-Store,2000
V2G and G2V,EDV,9,EPS-Store,EPS-Store,2000
real-time simulation,EDV,9,EPS-Store,EPS-Store,2000
model predictive control,energy storage,9,EPS-Store,EPS-Source,2000
coordination of distributed energy resources,energy storage,9,EPS-Store,EPS-Source,2000
Battery,energy storage,12,EPS-Store,EPS-Source,2000
BESS,energy storage,12,IOT-Network,EPS-Source,2000
Grid,energy storage,10,EPS-Store,EPS-Source,2000
Sodium Sulfur,energy storage,10,EPS-Store,EPS-Source,2000
Lead Acid,energy storage,10,EPS-Store,EPS-Source,2000
Cognitive beamforming,WLAN,8,EPS-Store,EPS-Store,2000
smart metering,WLAN,8,EPS-Store,EPS-Store,2000
spare capacity,WLAN,8,EPS-Store,EPS-Store,2000
vehicle charging scheme,PEVs,8,EPS-Store,IOT-Percept,2000
power distribution systems,PEVs,8,EPS-Store,IOT-Percept,2000
modeling,PEVs,8,EPS-Load,IOT-Percept,2000
plug-in electric vehicle,PEVs,13,EPS-Load,IOT-Percept,2000
energy storage,DC,13,EPS-Source,EPS-Source,2000
Active-power control,energy storage system,8,EPS-Store,EPS-Store,2000
battery energy storage systems,energy storage system,8,EPS-Store,EPS-Store,2000
multilevel cascade converters,energy storage system,8,EPS-Store,EPS-Store,2000
neutral shift,energy storage system,8,EPS-Store,EPS-Store,2000
DC microgrids,DC,10,EPS-Store,EPS-Source,2000
Smart grid,DR,10,EPS-Source,EPS-Source,2000
energy management,DR,9,EPS-Store,EPS-Source,2000
Smart Grid,smart grid communication,7,EPS-Source,EPS-Store,2000
Smart grid,wireless communication,8,EPS-Source,EPS-Store,2000
flywheels,energy storage,8,EPS-Store,EPS-Source,2000
M2M communication,M2M,45,EPS-Store,EPS-Store,2000
Smart Grid,smart grids,11,EPS-Source,EPS-Source,2000
EV,EVs,9,EPS-Store,EPS-Source,2000
electric vehicles,EVs,7,EPS-Store,EPS-Source,2000
distributed generation,EVs,10,EPS-Source,EPS-Source,2000
stochastic optimization,EVs,7,EPS-Store,EPS-Source,2000
plug-in hybrid electric vehicle,PHEVs,12,EPS-Source,EPS-Load,2000
V2G,EVs,18,EPS-Store,EPS-Source,2000
Micro-grid,PV,14,EPS-Store,EPS-Source,2000
vehicle to grid,EVs,9,EPS-Source,EPS-Source,2000
microgrid,PHEVs,9,EPS-Source,EPS-Load,2000
IEC standards,IEC,8,EPS-Store,EPS-Source,2000
Electric Vehicles,electric vehicle,7,IOT-Network,EPS-Grid,2000
Smart Grid,electric vehicle,12,EPS-Source,EPS-Grid,2000
battery,energy storage system,8,EPS-Store,EPS-Store,2000
battery,energy storage,9,EPS-Store,EPS-Source,2000
DC micro-grid,DC,12,EPS-Store,EPS-Source,2000
Energy storage,energy storage,16,EPS-Grid,EPS-Source,2000
Internet of things,particle swarm optimization,8,EPS-Source,EPS-Store,2000
Particle swarm optimization,particle swarm optimization,10,EPS-Store,EPS-Store,2000
Data fusion,particle swarm optimization,8,EPS-Store,EPS-Store,2000
Wireless sensor network,particle swarm optimization,8,EPS-Store,EPS-Store,2000
Dynamic routing,IoT,12,EPS-Store,IOT-App,2000
Pricing model,IoT,12,EPS-Store,IOT-App,2000
Heterogeneous communication,IoT,12,EPS-Store,IOT-App,2000
sensor,IoT,16,EPS-Store,IOT-App,2000
IoT security,IoT,23,EPS-Store,IOT-App,2000
Wireless sensor network,IoT,21,EPS-Store,IOT-App,2000
Wireless Sensor Networks,IoT,57,EPS-Store,IOT-App,2000
Context Data,IoT,8,EPS-Store,IOT-App,2000
Middleware,IoT,46,EPS-Store,IOT-App,2000
M2M communications,M2M,16,EPS-Store,EPS-Store,2000
sensor networks,M2M,8,EPS-Store,EPS-Store,2000
Internet of things,M2M,13,EPS-Source,EPS-Store,2000
future Internet architecture,M2M,8,EPS-Store,EPS-Store,2000
Wireless Sensor Networks,IPv6,10,EPS-Store,EPS-Store,2000
IoT,wireless sensor networks,53,IOT-App,IOT-App,2000
3D,wireless sensor networks,8,EPS-Store,IOT-App,2000
wireless sensor network,wireless sensor networks,10,EPS-Store,IOT-App,2000
Internet of underwater things,IoUT,8,EPS-Store,EPS-Store,2000
Architecture,IoUT,8,EPS-Store,EPS-Store,2000
Applications,IoUT,8,EPS-Store,EPS-Store,2000
Research challenges,IoUT,8,EPS-Store,EPS-Store,2000
WSN,wireless sensor networks,28,IOT-Network,IOT-App,2000
Clustering,wireless sensor networks,12,EPS-Store,IOT-App,2000
Bluetooth Low Energy,BLE,28,EPS-Store,EPS-Store,2000
Internet of Things,BLE,35,IOT-App,EPS-Store,2000
IOT,RFID,10,EPS-Load,IOT-Network,2000
RF-mapping,RFID,8,EPS-Store,IOT-Network,2000
Indoor localization,RFID,8,EPS-Store,IOT-Network,2000
Genetic algorithms,RFID,8,EPS-Store,IOT-Network,2000
Machine to Machine,M2M,8,EPS-Store,EPS-Store,2000
IoT,M2M,53,IOT-App,EPS-Store,2000
wireless device communication,M2M,8,EPS-Store,EPS-Store,2000
Constrained Application Protocol,CoAP,12,EPS-Store,EPS-Store,2000
Internet of Things,CoAP,14,IOT-App,EPS-Store,2000
6LoWPAN,IPv6,24,EPS-Store,EPS-Store,2000
IoT,IPv6,47,IOT-App,EPS-Store,2000
wireless sensor network,WSN,18,EPS-Store,IOT-Network,2000
energy efficiency,WSN,7,IOT-App,IOT-Network,2000
component,M2M,8,EPS-Store,EPS-Store,2000
smart objects,Internet of Things,7,EPS-Store,IOT-App,2000
security,Internet of Things,8,EPS-Source,IOT-App,2000
internet of things,IoT,93,EPS-Store,IOT-App,2000
wireless sensor network,Internet of Things,14,EPS-Store,IOT-App,2000
IoT,PV,8,IOT-App,EPS-Source,2000
internet of things,PV,8,EPS-Store,EPS-Source,2000
solar energy,PV,10,EPS-Store,EPS-Source,2000
monitoring,PV,8,EPS-Grid,EPS-Source,2000
IoT,BLE,14,IOT-App,EPS-Store,2000
Internet of Things,IPv6,28,IOT-App,EPS-Store,2000
machine to machine,IoT,7,EPS-Store,IOT-App,2000
Wi-Fi,Internet of Things,18,IOT-Network,IOT-App,2000
Wireless Sensor Networks,WSN,17,EPS-Store,IOT-Network,2000
6LoWPAN,wireless sensor networks,8,EPS-Store,IOT-App,2000
IOT,Internet of Things,12,EPS-Load,IOT-App,2000
Future Internet architecture,IoT,8,EPS-Store,IOT-App,2000
Semantic web,IoT,10,EPS-Store,IOT-App,2000
Context awareness,IoT,13,EPS-Store,IOT-App,2000
Hadoop,Internet of Things,7,EPS-Store,IOT-App,2000
Automation,IoT,11,IOT-App,IOT-App,2000
privacy,IoT,28,EPS-Source,IOT-App,2000
sensors,IoT,32,EPS-Store,IOT-App,2000
Internet of Things,CEP,9,IOT-App,EPS-Store,2000
trust,IoT,12,EPS-Store,IOT-App,2000
Artificial Immune System,IoT,10,EPS-Store,IOT-App,2000
distributed generation,DG,8,EPS-Source,EPS-Source,2000
solar photovoltaic system,PV,7,EPS-Store,EPS-Source,2000
optimal power generation mix,PV,7,EPS-Store,EPS-Source,2000
energy management,PV,11,EPS-Store,EPS-Source,2000
smart grid,PV,11,EPS-Source,EPS-Source,2000
energy management,DC,12,EPS-Store,EPS-Source,2000
battery,PV,8,EPS-Store,EPS-Source,2000
wind turbine,DC,7,EPS-Store,EPS-Source,2000
droop control,DC,9,EPS-Store,EPS-Source,2000
energy storage system,energy storage,9,EPS-Store,EPS-Source,2000
power grids,PV,10,EPS-Source,EPS-Source,2000
Energy storage,PV,20,EPS-Grid,EPS-Source,2000
electric vehicle,PV,12,EPS-Grid,EPS-Source,2000
Coordinative control,DR,12,EPS-Source,EPS-Source,2000
hierarchical control,DR,12,EPS-Source,EPS-Source,2000
residential feeder,DR,12,EPS-Source,EPS-Source,2000
frequency regulation,PV,10,EPS-Source,EPS-Source,2000
voltage regulation,PV,12,EPS-Load,EPS-Source,2000
Bulk energy storage,energy storage,8,EPS-Source,EPS-Source,2000
pumped hydro storage,energy storage,8,EPS-Source,EPS-Source,2000
battery storage,energy storage,10,EPS-Source,EPS-Source,2000
peak shaving,energy storage,10,EPS-Source,EPS-Source,2000
frequency regulation,energy storage,8,EPS-Source,EPS-Source,2000
optimization,energy storage,8,EPS-Source,EPS-Source,2000
smart grid,IEC,11,EPS-Source,EPS-Source,2000
power line communications,PLC,7,EPS-Source,IOT-Network,2000
droop control,ST,8,EPS-Store,EPS-Source,2000
point of common coupling,ST,7,EPS-Source,EPS-Source,2000
Microgrid,DG,20,EPS-Source,EPS-Source,2000
authentication,M2M,16,EPS-Source,EPS-Store,2000
key establishment,M2M,16,EPS-Source,EPS-Store,2000
6LoWPAN security,M2M,16,EPS-Source,EPS-Store,2000
authentication,DoS,8,EPS-Source,EPS-Source,2000
key establishment,DoS,8,EPS-Source,EPS-Source,2000
6LoWPAN security,DoS,8,EPS-Source,EPS-Source,2000
IoT,DoS,8,IOT-App,EPS-Source,2000
Internet of Things,DoS,18,IOT-App,EPS-Source,2000
M2M communication,DoS,8,EPS-Store,EPS-Source,2000
Micro-Grid,energy storage,14,EPS-Source,EPS-Source,2000
Electric Vehicles,EVs,8,IOT-Network,EPS-Source,2000
Smart Grid,EVs,38,EPS-Source,EPS-Source,2000
Energy Storage,MG,8,EPS-Source,EPS-Source,2000
Constant-power load,DC,8,EPS-Source,EPS-Source,2000
DC grid,DC,11,EPS-Source,EPS-Source,2000
DC-voltage control,DC,8,EPS-Source,EPS-Source,2000
PHEV,DC,8,EPS-Grid,EPS-Source,2000
plug-in hybrid electric vehicle,DC,12,EPS-Source,EPS-Source,2000
Smart Grid,high frequency,7,EPS-Source,EPS-Source,2000
Distributed generation,MG,8,EPS-Source,EPS-Source,2000
Smart Grid,NAN,10,EPS-Source,EPS-Load,2000
Smart Meters,smart meter,10,EPS-Source,EPS-Source,2000
VSC HVDC,HVDC,7,EPS-Source,EPS-Source,2000
Smart Grid,SG,20,EPS-Source,EPS-Source,2000
smart grid,wind farm,9,EPS-Source,IOT-Percept,2000
Smart grid,smart meter,14,EPS-Source,EPS-Source,2000
Energy management system,MG,7,IOT-Compute,EPS-Source,2000
Demand response,energy storage,10,EPS-Source,EPS-Source,2000
optimization,smart grids,11,EPS-Source,EPS-Source,2000
Smart Meter,SG,12,EPS-Source,EPS-Source,2000
QoS,SG,7,IOT-App,EPS-Source,2000
smart grid,CO2,7,EPS-Source,EPS-Store,2000
optimization,DR,8,EPS-Source,EPS-Source,2000
Advanced Metering Infrastructure,smart meter,14,EPS-Source,EPS-Source,2000
DC distribution networks,DC,15,EPS-Source,EPS-Source,2000
power electronics load,DC,15,EPS-Source,EPS-Source,2000
demand response,DC,20,EPS-Source,EPS-Source,2000
BACnet,DR,11,EPS-Source,EPS-Source,2000
ZigBee,DR,8,EPS-Store,EPS-Source,2000
Power management,power management,7,EPS-Source,EPS-Load,2000
rural electrification,PV,10,EPS-Source,EPS-Source,2000
Boost converter,DC,8,EPS-Source,EPS-Source,2000
duty cycle,DC,9,EPS-Source,EPS-Source,2000
DC Microgrid,DC,18,EPS-Source,EPS-Source,2000
Electric Vehicle,EVs,22,EPS-Source,EPS-Source,2000
PV cell,PV,10,EPS-Source,EPS-Source,2000
scheduling,EVs,8,EPS-Source,EPS-Source,2000
peak shaving,EVs,7,EPS-Source,EPS-Source,2000
Plug-in electric vehicle,energy storage,7,EPS-Source,EPS-Source,2000
chronic obstructive pulmonary disease,COPD,7,EPS-Source,EPS-Source,2000
RFID security,RFID,14,EPS-Source,IOT-Network,2000
Mobile ad hoc networks,WSN,15,EPS-Source,IOT-Network,2000
routing protocols,WSN,15,EPS-Source,IOT-Network,2000
Wireless sensor networks,IoT,20,EPS-Source,IOT-App,2000
coverage,IoT,12,IOT-Network,IOT-App,2000
Web of Things,IoT,8,EPS-Source,IOT-App,2000
REST,IoT,9,EPS-Source,IOT-App,2000
Sensors,IoT,8,EPS-Source,IOT-App,2000
Web of Things,WoT,10,EPS-Source,EPS-Source,2000
Business Process Modeling,WoT,8,EPS-Source,EPS-Source,2000
Resources,WoT,8,EPS-Source,EPS-Source,2000
REST,WoT,8,EPS-Source,EPS-Source,2000
BPMN,WoT,8,EPS-Source,EPS-Source,2000
BPM,WoT,8,EPS-Source,EPS-Source,2000
Things,WoT,8,EPS-Source,EPS-Source,2000
Sensors,WoT,8,EPS-Source,EPS-Source,2000
Devices,WoT,8,EPS-Source,EPS-Source,2000
identification,RFID,12,EPS-Source,IOT-Network,2000
security,RFID,12,EPS-Source,IOT-Network,2000
privacy,RFID,12,EPS-Source,IOT-Network,2000
elliptic curves,RFID,12,EPS-Source,IOT-Network,2000
Mobility,IoT,10,EPS-Source,IOT-App,2000
Service Discovery,IoT,9,EPS-Source,IOT-App,2000
