Source Node,Target Node,Pair Count,SNDomain,TNDomain,year
fuzzy neural,automatic generation control,4,EPS-Grid,EPS-Grid,2000
fuzzy control,automatic generation control,4,EPS-Load,EPS-Grid,2000
micro-grid system,PV,5,EPS-Grid,EPS-Source,2000
automatic generation system,PV,5,EPS-Grid,EPS-Source,2000
fuzzy neural,PV,5,EPS-Grid,EPS-Source,2000
fuzzy control,PV,5,EPS-Load,EPS-Source,2000
micro-grid system,DC,6,EPS-Grid,EPS-Source,2000
automatic generation system,DC,6,EPS-Grid,EPS-Source,2000
fuzzy neural,DC,6,EPS-Grid,EPS-Source,2000
fuzzy control,DC,6,EPS-Load,EPS-Source,2000
Energy fraction,PV,7,EPS-Grid,EPS-Source,2000
Performance evaluation,PV,7,IOT-App,EPS-Source,2000
PV Generator,PV,7,EPS-Grid,EPS-Source,2000
Smart microgrid,residential microgrid,4,EPS-Source,EPS-Load,2000
Distributed power,residential microgrid,4,EPS-Grid,EPS-Load,2000
Renewable energy systems,residential microgrid,4,EPS-Grid,EPS-Load,2000
Sustainable system/technology,residential microgrid,4,EPS-Grid,EPS-Load,2000
Microgrid,LAN,6,EPS-Source,EPS-Load,2000
Renewable energy resources,LAN,6,EPS-Load,EPS-Load,2000
IEC 61850-7-420,LAN,6,EPS-Grid,EPS-Load,2000
IEEE 802.11 Wireless LAN,LAN,6,EPS-Grid,EPS-Load,2000
Micro-grid,DC,11,EPS-Store,EPS-Source,2000
FRT,DC,6,EPS-Grid,EPS-Source,2000
Wind Power,energy storage system,6,EPS-Store,EPS-Load,2000
BESS,energy storage system,19,IOT-Network,EPS-Load,2000
Hybrid System,energy storage system,6,IOT-Network,EPS-Load,2000
Smart Grid,energy storage system,6,EPS-Source,EPS-Load,2000
Renewable Energy,energy storage system,6,EPS-Source,EPS-Load,2000
microgrid,energy storage,42,EPS-Source,EPS-Source,2000
Power line communication,power line,4,EPS-Grid,EPS-Source,2000
Clipping/Blanking,power line,4,EPS-Grid,EPS-Source,2000
noise reduction technique,power line,4,EPS-Grid,EPS-Source,2000
Power line communication,PLC,4,EPS-Grid,EPS-Load,2000
smart grid,PLC,4,EPS-Source,EPS-Load,2000
Clipping/Blanking,PLC,4,EPS-Grid,EPS-Load,2000
noise reduction technique,PLC,4,EPS-Grid,EPS-Load,2000
Distribution power flow,DOPF,4,IOT-Compute,EPS-Grid,2000
optimal feeder operation,DOPF,4,EPS-Grid,EPS-Grid,2000
Smart Grid,DOPF,4,EPS-Source,EPS-Grid,2000
unbalanced distribution systems,DOPF,4,EPS-Grid,EPS-Grid,2000
Battery energy storage system,dc microgrid,4,EPS-Grid,IOT-Network,2000
buck-boost converter,dc microgrid,4,EPS-Grid,IOT-Network,2000
commutation tuning,dc microgrid,4,EPS-Grid,IOT-Network,2000
CFPP,dc microgrid,4,EPS-Grid,IOT-Network,2000
current-fed push-pullconverter,dc microgrid,4,EPS-Grid,IOT-Network,2000
SMR,dc microgrid,4,IOT-Percept,IOT-Network,2000
flyback switch-mode rectifier,dc microgrid,4,EPS-Grid,IOT-Network,2000
inverter,dc microgrid,4,IOT-Percept,IOT-Network,2000
microgrid,dc microgrid,4,EPS-Source,IOT-Network,2000
RC,dc microgrid,4,EPS-Grid,IOT-Network,2000
robust control,dc microgrid,4,IOT-Network,IOT-Network,2000
SRG,dc microgrid,4,IOT-Percept,IOT-Network,2000
switched-reluctance generator,dc microgrid,4,EPS-Grid,IOT-Network,2000
voltage control,dc microgrid,4,EPS-Source,IOT-Network,2000
Communication System,IEC,5,EPS-Grid,EPS-Source,2000
Gateway,IEC,5,EPS-Grid,EPS-Source,2000
IEC 61850,IEC,7,IOT-App,EPS-Source,2000
Protocol Converter,IEC,5,EPS-Grid,EPS-Source,2000
Micro Grid,IEC,5,EPS-Load,EPS-Source,2000
State estimation,Maximum Likelihood Estimation,4,EPS-Load,EPS-Grid,2000
Particle Swarm Optimization,particle swarm optimization,4,EPS-Store,IOT-App,2000
HTS cable,HTS,7,EPS-Grid,EPS-Source,2000
High-Tc SFCL,HTS,5,EPS-Grid,EPS-Source,2000
high-Tc SMES,HTS,5,EPS-Grid,EPS-Source,2000
